Ref-No.	Citation
398	Mast, A. R., D. M. S. Feller, S. Kelso, E. Conti (2004). Buzz-pollinated Dodecatheon originated from within the heterostylous Primula subgenus Auriculastrum (Primulaceae): a seven-region cpDNA phylogeny and its implications for floral evolution. American Journal of Botany 91(6): 926-942.
399	Mast, A. R., S. Kelso, E. Conti (2006). Are any primroses ( Primula ) primitively monomorphic? New Phytologist 171(3): 605-616.
400	Mathews, S., R. E. Spangler, R. J. Mason-Gamer, E. A. Kellogg (2002). Phylogeny of Andropogoneae inferred from phytochrome B, GBSSI, and NDHF. International Journal of Plant Sciences 163(3): 441-450.
401	Maureira-Butler, I. n. J., B. E. Pfeil, A. Muangprom, T. C. Osborn, J. J. Doyle (2008). The Reticulate History of Medicago (Fabaceae). Systematic Biology 57(3): 466-482.
402	Mavrodiev, E. V., C. E. Edwards, D. C. Albach, M. A. Gitzendanner, P. S. Soltis, D. E. Soltis (2004). Phylogenetic relationships in subtribe Scorzonerinae (Asteraceae : Cichorioideae : Cichorieae) based on ITS sequence data. Taxon 53(3): 699-712.
403	Mavrodiev, E. V., M. Tancig, A. M. Sherwood, M. A. Gitzendanner, J. Rocca, P. S. Soltis, D. E. Soltis (2005). Phylogeny of Tragopogon L. (Asteraceae) based on internal and external transcribed spacer sequence data. International Journal of Plant Sciences 166(1): 117-133.
404	McDill, J., M. Repplinger, B. B. Simpson, J. W. Kadereit (2009). The phylogeny of Linum and Linaceae subfamily Linoideae, with implications for their systematics, biogeography, and evolution of heterostyly. Systematic Botany 34(2): 386-405.
405	McDill, J. R. and B. B. Simpson (2011). Molecular phylogenetics of Linaceae with complete generic sampling and data from two plastid genes. Botanical Journal of the Linnean Society 165(1): 64-83.
406	McNeal, J. R., K. Arumugunathan, J. V. Kuehl, J. L. Boore, C. W. Depamphilis (2007). Systematics and plastid genome evolution of the cryptically photosynthetic parasitic plant genus Cuscuta (Convolvulaceae). BMC Biology 5.
407	Meerow, A. W., J. Francisco-Ortega, D. N. Kuhn, R. J. Schnell (2006). Phylogenetic relationships and biogeography within the Eurasian clade of Amaryllidaceae based on plastid ndhF and nrDNA ITS sequences: Lineage sorting in a reticulate area? Systematic Botany 31(1): 42-60.
408	Meng, Y., J. Wen, Z. L. Nie, H. Sun, Y. P. Yang (2008). Phylogeny and biogeographic diversification of Maianthemum (Ruscaceae: Polygonatae). Molecular Phylogenetics and Evolution 49(2): 424-434.
409	Merckx, V., P. Schols, K. Geuten, S. Huysmans, E. Smets (2008). Phylogenetic relationships in Nartheciaceae (Dioscoreales), with focus on pollen and orbicule morphology. Belgian Journal of Botany 141(1): 64-77.
410	Metzgar, J. S., H. Schneider, K. M. Pryer (2007). Phylogeny and divergence time estimates for the fern genus Azolla (Salviniaceae). International Journal of Plant Sciences 168(7): 1045-1053.
411	Meyers, S. C., A. Liston, R. Meinke (2010). A Molecular Phylogeny of Limnanthes (Limnanthaceae) and Investigation of an Anomalous Limnanthes Population from California, U. S. A. Systematic Botany 35(3): 552-558.
412	Miao, B., B. L. Turner, T. J. Mabry (1995). Systematics implications of chloroplast DNA variation in the subtribe Ambrosiinae (Asteraceae: Heliantheae). American Journal of Botany 82(7): 924-932.
413	Milne, R. I. (2004). Phylogeny and biogeography of Rhododendron subsection Pontica, a group with a tertiary relict distribution. Molecular Phylogenetics and Evolution 33(2): 389-401.
414	Mishiba, K., K. Yamane, T. Nakatsuka, Y. Nakano, S. Yamamura, J. Abe, H. Kawamura, Y. Takahata, M. Nishihara (2009). Genetic relationships in the genus Gentiana based on chloroplast DNA sequence data and nuclear DNA content. Breeding Science 59(2): 119-127.
415	Moody, M. L. and D. H. Les (2007). Phylogenetic systematics and character evolution in the angiosperm family Haloragaceae. American Journal of Botany 94(12): 2005-2025.
416	Moon, H. K., E. Smets, S. Huysmans (2010). Phylogeny of tribe Mentheae (Lamiaceae): The story of molecules and micromorphological characters. Taxon 59(4): 1065-1076.
417	Moore, B. R. and M. J. Donoghue (2007). Correlates of diversification in the plant clade Dipsacales: Geographic movement and evolutionary innovations. American Naturalist 170: S28-S55.
418	Moore, B. R. and M. J. Donoghue (2009). A Bayesian approach for evaluating the impact of historical events on rates of diversification. Proceedings of the National Academy of Sciences 106(11): 4307-4312.
419	Moore, D. M. and M. J. Harvey (1961). Cytogenetic relationships of Viola lactea Sm. and other West European arosulate violets. New Phytologist 60(1): 85-95.
420	Moore, M. J. and R. K. Jansen (2006). Molecular evidence for the age, origin, and evolutionary history of the American desert plant genus Tiquilia (Boraginaceae). Molecular Phylogenetics and Evolution 39(3): 668-687.
421	Moore, T. E., G. A. Verboom, F. Forest (2010). Phylogenetics and biogeography of the parasitic genus Thesium L. (Santalaceae), with an emphasis on the Cape of South Africa. Botanical Journal of the Linnean Society 162(3): 435-452.
422	Mort, M. E., C. P. Randle, P. Burgoyne, G. Smith, E. Jaarsveld, S. D. Hopper (2009). Analyses of cpDNA matK sequence data place Tillaea (Crassulaceae) within Crassula. Plant Systematics and Evolution 283(3-4): 211-217.
423	Mort, M. E., D. E. Soltis, P. S. Soltis, J. Francisco-Ortega, A. SantosGuerra (2001). Phylogenetic relationships and evolution of Crassulaceae inferred from  mat K sequence data. American Journal of Botany 88: 76-91.
424	Mower, J., P. Touzet, J. Gummow, L. Delph, J. Palmer (2007). Extensive variation in synonymous substitution rates in mitochondrial genes of seed plants. BMC Evolutionary Biology 7(1): 135.
425	Mraz, P., N. r. Garcia-Jacas, E. Gex-Fabry, A. Susanna, L. Barres, H. MÃ¼ller-SchÃ¤rer (2012). Allopolyploid origin of highly invasive Centaurea stoebe s.l. (Asteraceae). Molecular Phylogenetics and Evolution 62(2): 612-623.
426	Muasya, A. M., D. A. Simpson, M. W. Chase, A. Culham (2001). A phylogeny of Isolepis (Cyperaceae) inferred using plastid rbcL and trnL-F sequence data. Systematic Botany 26(2): 342-353.
427	Muasya, A. M., D. A. Simpson, G. A. Verboom, P. Goetghebeur, R. F. C. Naczi, M. W. Chase, E. Smets (2009). Phylogeny of Cyperaceae based on DNA sequence data: current progress and future prospects. Botanical Review 75(1): 2-21.
428	Muellner, A. N., D. D. Vassiliades, S. S. Renner (2007). Placing Biebersteiniaceae, a herbaceous clade of Sapindales, in a temporal and geographic context. Plant Systematics and Evolution 266(3): 233-252.
429	Müller, K. and D. Albach (2010). Evolutionary rates in Veronica L. (Plantaginaceae): disentangling the influence of life history and breeding system. Journal of Molecular Evolution 70(1): 44-56.
430	Müller, K. and T. Borsch (2005). Phylogenetics of Amaranthaceae based on matK/trnK sequence data - evidence from parsimony, likelihood, and bayesian analyses. Annals of the Missouri Botanical Garden 92: 66-102.
431	Mummenhoff, K., H. Brüggemann, J. L. Bowman (2001). Chloroplast DNA phylogeny and biogeography of  Lepidium  (Brassicaceae). American Journal of Botany 88(11): 2051-2063.
432	Mummenhoff, K., A. Polster, A. Mülhausen, G. Theißen (2009). Lepidium as a model system for studying the evolution of fruit development in Brassicaceae. Journal of Experimental Botany 60(5): 1503-1513.
433	Nagalingum, N. S., M. D. Nowak, K. M. Pryer (2008). Assessing phylogenetic relationships in extant heterosporous ferns (Salviniales), with a focus on Pilularia and Salvinia. Botanical Journal of the Linnean Society 157(4): 673-685.
434	Nakamatte, E. and K. A. Lye (2007). AFLP-based differentiation in north Atlantic species of Carex sect. Phacocystis. Nordic Journal of Botany 25(5-6): 318-328.
435	Nanni, L., N. Ferradini, F. Taffetani, R. Papa (2004). Molecular phylogeny of Anthyllis spp. Plant Biology 6(4): 454-464.
436	Natali, A., J. F. Manen, F. Ehrendorfer (1995). Phylogeny of the Rubiaceae-Rubioideae, in particular the tribe Rubieae: evidence from a non-coding chloroplast DNA sequence. Annals of the Missouri Botanical Garden 82(3): 428-439.
437	Nauheimer, L., P. C. Boyce, S. S. Renner (2012). Giant taro and its relatives: A phylogeny of the large genus Alocasia (Araceae) sheds light on Miocene floristic exchange in the Malesian region. Molecular Phylogenetics and Evolution 63(1): 43-51.
438	Navajas-Perez, R., R. de la Herran, G. L. Gonzalez, M. Jamilena, R. Lozano, C. R. Rejon, M. R. Rejon, M. A. Garrido-Ramos (2005). The evolution of reproductive systems and sex-determining mechanisms within Rumex (Polygonaceae) inferred from nuclear and chloroplastidial sequence data. Molecular Biology and Evolution 22(9): 1929-1939.
439	Navarro, E., J. Bousquet, A. Moiroud, A. Munive, D. Piou, P. Normand (2003). Molecular phylogeny of Alnus (Betulaceae), inferred from nuclear ribosomal DNA ITS sequences. Plant and Soil 254(1): 207-217.
440	Neuffer, B., R. Kohrt, T. Heyer, H. Hurka (2001). Origin of Cardamine flexuosa (Brassicaceae) - Evidence from molecular markers. 15.Symposium: Biodiversität & Evolutionsforschung, Bochum 2001, Abstract-Band: 125.
441	Neves, S. S. and M. F. Watson (2004). Phylogenetic relationships in Bupleurum (Apiaceae) based on nuclear ribosomal DNA ITS sequence data. Annals of Botany 93(4): 379-398.
442	Nguyen, N. H., H. E. Driscoll, C. D. Specht (2008). A molecular phylogeny of the wild onions (Allium; Alliaceae) with a focus on the western North American center of diversity. Molecular Phylogenetics and Evolution 47(3): 1157-1172.
443	Nie, Z.-L., H. Sun, P. M. Beardsley, R. G. Olmstead, J. Wen (2006). Evolution of biogeographic disjunction between eastern Asia and eastern North America in Phryma (Phrymaceae). American Journal of Botany 93(9): 1343-1356.
444	Nie, Z.-L., H. Sun, H. Li, J. Wen (2006). Intercontinental biogeography of subfamily Orontioideae (Symplocarpus, Lysichiton, and Orontium) of Araceae in eastern Asia and North America. Molecular Phylogenetics and Evolution 40(1): 155-165.
445	Nie, Z.-L., J. Wen, H. Sun, B. Bartholomew (2005). Monophyly of Kelloggia Torrey ex Benth. (Rubiaceae) and evolution of its intercontinental disjunction between western North America and eastern Asia. American Journal of Botany 92(4): 642-652.
446	Nie, Z. L., H. Sun, D. A. Chen, Y. Meng, S. R. Manchester, J. Wen (2010). Molecular phylogeny and biogeographic diversification of Parthenocissus (Vitaceae) disjunct between Asia and North America. American Journal of Botany 97(8): 1342-1353.
447	Nishimoto, Y. (2003). Molecular phylogenetic analysis of the Urophyllum group in the genus Fagopyrum by the maximum likelihood method. . Hayama, Graduate university for advanced studies Hayama. PhD.
448	Njuguna, W. (2010). Development and use of molecular tools in Fragaria, Oregon State University.
449	Nordenstam, B., P. B. Pelser, J. W. Kadereit, L. E. Watson (2009). Senecioneae. Systematics, Evolution and Biogeography of Compositae. V. A. Funk, A. Susanna, T. F. Stuessy and R. J. Bayer. Vienna, Austria, IAPT: 503-525.
450	Noyes, R. D. (2000). Biogeographical and evolutionary insights on Erigeron and allies (Asteraceae) from ITS sequence data. Plant Systematics and Evolution 220: 93-114.
451	Nürk, N. M. (2011). Phylogenetic analyses in St. John´s wort (Hypericum). Berlin, FU Berlin.
452	Nürk, N. M. and F. R. Blattner (2010). Cladistic analysis of morphological characters in Hypericum (Hypericaceae). Taxon 59(5): 1495-1507.
453	Nyffeler, R. and U. Eggli (2010). Disintegrating Portulacaceae: A new familial classification of the suborder Portulacineae (Caryophyllales) based on molecular and morphological data. Taxon 59(1): 227-240.
454	Oberlander, K. C. (2009). Molecular systematic study of Southern African Oxalis (Oxalidaceae). Department of Botany and Zoology. Stellenbosch, Stellenbosch University. PhD.
455	Oberprieler, C. (2005). Temporal and spatial diversification of Circum-Mediterranean Compositae-Anthemideae. Taxon 54(4): 951-966.
456	Oberprieler, C., S. Himmelreich, M. Källersjö, J. Vallès, L. E. Watson, R. Vogt (2009). Anthemideae. Systematics, Evolution, and Biogeography of the Compositae. V. Funk, A. Susanna, T. Stuessy and R. Bayer. Vienna, IAPT: 631-666.
457	Ojeda, I., A. Santos-Guerra, R. Jaén-Molina, F. Oliva-Tejera, J. Caujapé-Castells, Q. Cronk (2012). The origin of bird pollination in Macaronesian Lotus (Loteae, Leguminosae). Molecular Phylogenetics and Evolution 62(1): 306-318.
458	Olmstead, R. G. and J. A. Sweere (1994). Combining data in phylogenetic systematics - an empirical approach using 3 molecular data sets in the Solanaceae. Systematic Biology 43(4): 467-481.
459	Olmstead, R. G., J. A. Sweere, R. E. Spangler, L. Bohs, J. D. Palmer (1999). Phylogeny and provisional classification of the Solanaceae based on chloroplast DNA. Solanaceae IV, Advances in Biology and Utilization. M. Nee, D. E. Symon, J. P. Jessup and J. P. Hawkes. Kew, Royal Botanic Gardens: 111-137.
460	Ontivero, M., W. Arias, J. D. Ricci, J. Babot, P. Albornoz, A. Castagnaro (2000). Analysis of genetic similarities among species of Fragaria, Potentilla, and Duchesnea found in northwest Argentina by using morphological, anatomical, and molecular characters. Canadian Journal of Botany 78: 547-556.
461	Oxelman, B., P. Kornhall, R. C. Olmstead, B. Bremer (2005). Further disintegration of Scrophulariaceae. Taxon 54(2): 411-425.
462	Oxelman, B., M. Liden, R. K. Rabeler, M. Popp (2001). A revised generic classification of the tribe Sileneae (Caryophyllaceae). Nordic Journal of Botany 20(6): 743-748.
463	Paape, T., B. Igic, S. D. Smith, R. Olmstead, L. Bohs, J. R. Kohn (2008). A 15-Myr-old genetic bottleneck. Molecular Biology and Evolution 25(4): 655-663.
464	Pardo, C., P. Cubas, H. Tahiri (2004). Molecular phylogeny and systematics of Genista (Leguminosae) and related genera based on nucleotide sequences of nrDNA (ITS region) and cpDNA (trnL-trnF intergenic spacer). Plant Systematics and Evolution 244(1-2): 93-119.
465	Park, J.-M., J.-F. Manen, A. E. Colwell, G. M. Schneeweiss (2008). A plastid gene phylogeny of the non-photosynthetic parasitic Orobanche (Orobanchaceae) and related genera. Journal of Plant Research 121(4): 365-376.
466	Park, J. M., S. Kovacic, Z. Liber, W. M. M. Eddie, G. M. Schneeweiss (2006). Phylogeny and biogeography of isophyllous species of Campanula (Campanulaceae) in the Mediterranean area. Systematic Botany 31(4): 862-880.
467	Parkinson, C., J. Mower, Y.-L. Qiu, A. Shirk, K. Song, N. Young, C. dePamphilis, J. Palmer (2005). Multiple major increases and decreases in mitochondrial substitution rates in the plant family Geraniaceae. BMC Evolutionary Biology 5(1): 73.
468	Paton, A. J., D. Springate, S. Suddee, D. Otieno, R. J. Grayer, M. M. Harley, F. Willis, M. S. J. Simmonds, M. P. Powell, V. Savolainen (2004). Phylogeny and evolution of basils and allies (Ocimeae, Labiatae) based on three plastid DNA regions. Molecular Phylogenetics and Evolution 31(1): 277-299.
469	Paun, O., C. Lehnebach, J. T. Johansson, P. Lockhart, E. Hörandl (2005). Phylogenetic relationships and biogeography of Ranunculus and allied genera (Ranunculaceae) in the Mediterranean region and in the European Alpine System. Taxon 54(4): 911-930.
470	Pell, S. K. (1004). Molecular Systematics of the cashew family (Anacardiaceae). Louisiana State University. PhD.
471	Pellicer, J., S. Garcia, M. A. Canela, T. Garnatje, A. A. Korobkov, J. D. Twibell, J. Valles (2010). Genome size dynamics in Artemisia L. (Asteraceae): following the track of polyploidy. Plant Biology 12(5): 820-830.
472	Pellicer, J., T. Garnatje, J. Molero, F. Pustahija, S. Siljak-Yakovlev, J. Valles (2010). Origin and evolution of the South American endemic Artemisia species (Asteraceae): evidence from molecular phylogeny, ribosomal DNA and genome size data. Australian Journal of Botany 58(7): 605-616.
473	Pelser, P. B., B. Nordenstam, J. W. Kadereit, L. E. Watson (2007). An ITS phylogeny of tribe Senecioneae (Asteraceae) and a new delimitation of Senecio L. Taxon 56(4): 1077-1104.
474	Pelser, P. B., K. van den Hof, B. Gravendeel, R. van der Meijden (2004). The systematic value of morphological characters in Senecio sect. Jacobaea (Asteraceae) as compared to DNA sequences. Systematic Botany 29(3): 790-805.
475	Peng, D. and X.-Q. Wang (2008). Reticulate evolution in Thuja inferred from multiple gene sequences: Implications for the study of biogeographical disjunction between eastern Asia and North America. Molecular Phylogenetics and Evolution 47(3): 1190-1202.
476	Peng, Y. Y., Y. M. Wei, B. R. Baum, Q. T. Jiang, X. J. Lan, S. F. Dai, Y. L. Zheng (2010). Phylogenetic investigation of Avena diploid species and the maternal genome donor of Avena polyploids. Taxon 59(5): 1472-1482.
477	Percy, D. M. (2001). Diversification of legume-feeding psyllids (Psylloidea, Hemiptera) and their host plants (Genisteae, Leguminosae). Division of Environmental and Evolutionary Biology, University of Glasgow, UK. Ph.D.
478	Pérez-Gutiérrez, M. A., A. T. Romero-García, M. J. Salinas, G. Blanca, M. C. Fernández, V. N. Suárez-Santiago (2012). Phylogeny of the tribe Fumarieae (Papaveraceae s.l.) based on chloroplast and nuclear DNA sequences: Evolutionary and biogeographic implications. American Journal of Botany 99(3): 517-528.
479	Perrie, L. R. and P. J. Brownsey (2005). Insights into the biogeography and polyploid evolution of New Zealand Asplenium from chloroplast DNA sequence data. American Fern Journal 95(1): 1-21.
480	Persson, C. (2001). Phylogenetic relationships in Polygalaceae based on plastid DNA sequences from the trnL-F region. Taxon 50(3): 763-779.
481	Persson, K., G. Petersen, A. del Hoyo, O. Seberg, T. Jorgensen (2011). A phylogenetic analysis of the genus Colchicum L. (Colchicaceae) based on sequences from six plastid regions. Taxon 60(5): 1349-1365.
482	Peterson, P. M., K. Romaschenko, G. Johnson (2010). A classification of the Chloridoideae (Poaceae) based on multi-gene phylogenetic trees. Molecular Phylogenetics and Evolution 55(2): 580-598.
483	Petri, A. and B. Oxelman (2011). Phylogenetic relationships within Silene (Caryophyllaceae) section Physolychnis. Taxon 60: 953-968.
484	Pfosser, M. and F. Speta (1999). Phylogenetics of Hyacinthaceae based on plastid DNA sequences. Annals of the Missouri Botanical Garden 86(4): 852-875.
485	Pfosser, M. F. and F. Speta (2004). From Scilla to Charybdis - is our voyage safer now? Plant Systematics and Evolution 246(3-4): 245-263.
486	Philbrick, C. T. and D. H. Les (2000). Phylogenetic studies in Callitriche: implications for interpretation of ecological, karyological and pollination system evolution. Aquatic Botany 68: 123-141.
487	Picard, D., T. Sempere, O. Plantard (2008). Direction and timing of uplift propagation in the Peruvian Andes deduced from molecular phylogenetics of highland biotaxa. Earth and Planetary Science Letters 271(1â€“4): 326-336.
488	Pilepic, K. H., M. Morovic, F. Orac, M. Santor, V. Vejnovic (2010). RFLP analysis of cpDNA in the genus Hypericum. Biologia 65(5): 805-812.
489	Pillon, Y., M. F. Fay, M. Hedren, R. M. Bateman, D. S. Devey, A. B. Shipunov, M. van der Bank, M. W. Chase (2007). Evolution and temporal diversification of western European polyploid species complexes in Dactylorhiza (Orchidaceae). Taxon 56(4): 1185-1208.
490	Pirie, M. D., E. G. H. Oliver, D. U. Bellstedt (2011). A densely sampled ITS phylogeny of the Cape flagship genus Erica L. suggests numerous shifts in floral macro-morphology. Molecular Phylogenetics and Evolution 61(2): 593-601.
491	Plunkett, G. M. and P. P. Lowry, II (2001). Relationships among Ancient Araliads and their significance for the systematics of Apiales. Molecular Phylogenetics and Evolution 19: 259-276.
492	Poczai, P., J. Hyvönen, D. Symon (2011). Phylogeny of kangaroo apples (Solanum subg. Archaesolanum, Solanaceae). Molecular Biology Reports 38(8): 5243-5259.
493	Popp, M., V. MirrÃ©, C. Brochmann (2011). A single Mid-Pleistocene long-distance dispersal by a bird can explain the extreme bipolar disjunction in crowberries (Empetrum). Proceedings of the National Academy of Sciences 108(16): 6520-6525.
494	Popp, M. and B. Oxelman (2004). Evolution of a RNA polymerase gene family in Silene (Caryophyllaceae) - Incomplete concerted evolution and topological congruence among paralogues. Systematic Biology 53(6): 914-932.
495	Porter, J. M., L. A. Johnson, D. Wilken (2010). Phylogenetic systematics of Ipomopsis (Polemoniaceae): Relationships and divergence times estimated from chloroplast and nuclear DNA sequences. Systematic Botany 35(1): 181-200.
496	Potokina, E., N. Tomooka, D. A. Vaughan, T. Alexandrova, R. Q. Xu (1999). Phylogeny of Vicia subgenus Vicia (Fabaceae) based on analysis of RAPDs and RFLP of PCR-amplified chloroplast genes. Genetic Resources and Crop Evolution 46(2): 149-161.
497	Potter, D., T. Eriksson, R. C. Evans, S. Oh, J. E. E. Smedmark, D. R. Morgan, M. Kerr, K. R. Robertson, M. Arsenault, T. A. Dickinson, C. S. Campbell (2007). Phylogeny and classification of Rosaceae. Plant Systematics and Evolution 266(1-2): 5-43.
498	Potter, D., J. J. Luby, R. E. Harrison (2000). Phylogenetic relationships among species of Fragaria (Rosaceae) inferred from non-coding nuclear and chloroplast DNA sequences. Systematic Botany 25: 337-348.
499	Potter, D., S. M. Still, T. Grebenc, D. Ballian, G. Bozic, J. Franjiae, H. Kraigher (2007). Phylogenetic relationships in tribe Spiraeeae (Rosaceae) inferred from nucleotide sequence data. Plant Systematics and Evolution 266(1-2): 105-118.
500	Powell, E. A. and K. A. Kron (2002). Hawaiian blueberries and their relatives-A phylogenetic analysis of Vaccinium sections Macropelma, Myrtillus, and Hemimyrtillus (Ericaceae). Systematic Botany 27(4): 768-779.
501	Prasad, V., C. A. E. Stromberg, A. D. Leache, B. Samant, R. Patnaik, L. Tang, D. M. Mohabey, S. Ge, A. Sahni (2011). Late Cretaceous origin of the rice tribe provides evidence for early diversification in Poaceae. Nat Commun 2: 480.
502	Prather, L. A., C. J. Ferguson, R. K. Jansen (2000). Polemoniaceae phylogeny and classification: implications of sequence data from the chloroplast gene ndhF. American Journal of Botany 87: 1300-1308.
503	Prebble, J. M., C. N. Cupido, H. M. Meudt, P. J. Garnock-Jones (2011). First phylogenetic and biogeographical study of the southern bluebells (Wahlenbergia, Campanulaceae). Molecular Phylogenetics and Evolution 59(3): 636-648.
504	Pridgeon, A. M., R. M. Bateman, A. V. Cox, J. R. Hapeman, M. W. Chase (1997). Phylogenetics of subtribe Orchidinae (Orchidoideae, Orchidaceae) based on nuclear ITS sequences. 1. Intergeneric relationships and polyphyly of  Orchis sensu lato. Lindleyana 12: 89-109.
505	Procaccini, G., L. Mazzella, R. S. Alberti, D. H. Les (1999). Chloroplast tRNA(Leu) (UAA) intron sequences provide phylogenetic resolution of seagrass relationships. Aquatic Botany 62(4): 269-283.
506	Pryer, K. M. and E. Schuettpelz (2009). Ferns (Monilophyta). The Timetree of Life. S. B. Hedges and S. Kumar, Oxford University Press: 153-156.
507	Pryer, K. M., E. Schuettpelz, P. G. Wolf, H. Schneider, A. R. Smith, R. Cranfill (2004). Phylogeny and evolution of ferns (monilophytes) with a focus on the early leptosporangiate divergences. American Journal of Botany 91(10): 1582-1598.
508	Qiu, Y. L., L. B. Li, B. Wang, Z. D. Chen, O. Dombrovska, J. Lee, L. Kent, R. Q. Li, R. W. Jobson, T. A. Hendry, D. W. Taylor, C. M. Testa, M. Ambros (2007). A nonflowering land plant phylogeny inferred from nucleotide sequences of seven chloroplast, mitochondrial, and nuclear genes. International Journal of Plant Sciences 168(5): 691-708.
509	Quintanar, A., S. Castroviejo, P. Catalan (2007). Phylogeny of the tribe Aveneae (Pooideae, Poaceae) inferred from plastid trnT-F and nuclear ITS sequences. American Journal of Botany 94(9): 1554-1569.
510	Ramirez, S. R., B. Gravendeel, R. B. Singer, C. R. Marshall, N. E. Pierce (2007). Dating the origin of the Orchidaceae from a fossil orchid with its pollinator. Nature 448(7157): 1042-1045.
511	Ran, J.-H., X.-X. Wei, X.-Q. Wang (2006). Molecular phylogeny and biogeography of Picea (Pinaceae): Implications for phylogeographical studies using cytoplasmic haplotypes. Molecular Phylogenetics and Evolution 41(2): 405-419.
512	Rapini, A., C. van den Berg, S. Liede-Schumann (2007). Diversification of Asclepiadoideae (Apocynaceae) in the New World. Annals of the Missouri Botanical Garden 94(2): 407-422.
513	Rautenberg, A., L. Hathaway, B. Oxelman, H. C. Prentice (2010). Geographic and phylogenetic patterns in Silene section Melandrium (Caryophyllaceae) as inferred from chloroplast and nuclear DNA sequences. Molecular Phylogenetics and Evolution 57(3): 978-991.
514	Ray, M. F. (1995). Systematics of Lavatera and Malva (Malvaceae, Malveae) - A new perspective. Plant Systematics and Evolution 198(1-2): 29-53.
515	Ree, R. H. (2005). Phylogeny and the evolution of floral diversity in Pedicularis (Orobanchaceae). International Journal of Plant Sciences 166(4): 595-613.
516	Reeves, G., M. W. Chase, P. Goldblatt, P. Rudall, M. F. Fay, A. V. Cox, B. Lejeune, T. Souza-Chies (2001). Molecular systematics of Iridaceae: Evidence from four plastid DNA regions. American Journal of Botany 88(11): 2074-2087.
517	Renner, S. (2009). Gymnosperms. The Timetree of Life. S. B. Hedges and S. Kumar. Oxford, Oxford University Press: 157-160.
518	Renner, S. S., L. Beenken, G. W. Grimm, A. Kocyan, R. E. Ricklefs (2007). The evolution of dioecy, heterodichogamy, and labile sex experssion in Acer. Evolution 61(11): 2701-2719.
519	Renner, S. S., G. W. Grimm, G. M. Schneeweiss, T. F. Stuessy, R. E. Ricklefs (2008). Rooting and dating maples (Acer) with an uncorrelated-rates molecular clock: Implications for North American/Asian disjunctions. Systematic Biology 57(5): 795-808.
520	Renner, S. S. and L. B. Zhang (2004). Biogeography of the Pistia clade (Araceae): Based on chloroplast and mitochondrial DNA sequences and Bayesian divergence time inference. Systematic Biology 53(3): 422-432.
521	Richardson, J. E., L. W. Chatrou, J. B. Mols, R. H. J. Erkens, M. D. Pirie (2004). Historical biogeography of two cosmopolitan families of flowering plants: Annonaceae and Rhamnaceae. Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences 359(1450): 1495-1508.
522	Richardson, J. E., M. F. Fay, Q. C. B. Cronk, D. Bowman, M. W. Chase (2000). A phylogenetic analysis of Rhamnaceae using rbcL and trnL-F plastid DNA sequences. American Journal of Botany 87(9): 1309-1324.
523	Richardson, J. E., R. T. Pennington, T. D. Pennington, P. M. Hollingsworth (2001). Rapid diversification of a species-rich genus of neotropical rain forest trees. Science 293(5538): 2242-2245.
524	Rivadavia, F., K. Kondo, M. Kato, M. Hasebe (2003). Phylogeny of the sundews, Drosera (Droseraceae), based on chloroplast rbcL and nuclear 18S ribosomal DNA sequences. American Journal of Botany 90(1): 123-130.
525	Ro, K. E. and B. A. McPheron (1997). Molecular phylogeny of the Aquilegia group (Ranunculaceae) based on internal transcribed spacers and 5.8S nuclear ribosomal DNA. Biochemical Systematics and Ecology 25(5): 445-461.
526	Roalson, E. H. (2005). Phylogenetic relationships in the Juncaceae inferred from nuclear ribosomal DNA internal transcribed spacer sequence data. International Journal of Plant Sciences 166(3): 397-413.
527	Roalson, E. H., J. T. Columbus, E. A. Friar (2001). Phylogenetic relationships in Cariceae (Cyperaceae) based on ITS (nrDNA) and trnT-L-F (cpDNA) region sequences: Assessment of subgeneric and sectional relationships in Carex with emphasis on section Acrocystis. Systematic Botany 26(2): 318-341.
528	Roalson, E. H., C. E. Hinchliff, R. Trevisan, C. R. M. da Silva (2010). Phylogenetic relationships in Eleocharis (Cyperaceae): C4 photosynthesis origins and patterns of diversification in the spikerushes. Systematic Botany 35(2): 257-271.
529	Rochet, J., P.-A. Moreau, S. Manzi, M. Gardes (2011). Comparative phylogenies and host specialization in the alder ectomycorrhizal fungi Alnicola, Alpova and Lactarius (Basidiomycota) in Europe. BMC Evolutionary Biology 11(1): 40.
530	Romaschenko, K., P. M. Peterson, R. J. Soreng, N. Garcia-Jacas, A. Susanna (2010). Phylogenetics of Stipeae (Poaceae: Pooideae) based on plastid and nuclear DNA sequences. Diversity, Phylogeny, and Evolution in the Monocotyledons. O. Seeberg, G. Peterson, A. Barfod and J. I. Davis. Aarhus, Aarhus University Press: 511-537.
531	Ronse, A. C., Z. A. Popper, J. C. Preston, M. F. Watson (2010). Taxonomic revision of European Apium L. s.l.: Helosciadium WDJ Koch restored. Plant Systematics and Evolution 287(1-2): 1-17.
532	Ronsted, N., M. W. Chase, D. C. Albach, M. A. Bello (2002). Phylogenetic relationships within Plantago (Plantaginaceae): evidence from nuclear ribosomal ITS and plastid trnL-F sequence data. Botanical Journal of the Linnean Society 139(4): 323-338.
